系統,南2A入
No,停留所名,通過時刻,緯度,経度,ポップアップ,表示距離
1,竹田駅西口,07:45:00,34.95688041,135.75570901,,0
2,竹田内畑町,08:02:00,34.95445445,135.75234418,,0
3,城南宮東口,08:05:00,34.95078714,135.75225303,
4,パルスプラザ前,08:08:00,34.94592823,135.75056473,この先右折します,120
5,国道赤池,08:10:00,34.94619137,135.74788602,,0
6,赤池,08:12:00,34.94636520,135.74371169,,0
7,上鳥羽塔ノ森,08:14:00,34.94625622,135.73812454,,0
8,久我,08:17:00,34.94499875,135.73347785,この先左折します,40
9,久我御旅町,08:20:00,34.94203340,135.73300164,,0
10,神川小学校前,08:23:00,34.93956869,135.73255797,,0
11,下久我,08:26:00,34.93688738,135.72941902,,0
12,久我の杜,08:30:00,34.93458563,135.72702330,,0
8,菱川,08:17:00,34.93207019,135.72438970,,0
9,樋爪口,08:20:00,34.92732540,135.72251273,南2号 免許試験場前を経由します,0
10,免許試験場前(前),08:23:00,34.92386224,135.72271613,,0
11,免許試験場前,08:26:00,34.92484674,135.72278332,,0
12,工業団地前,08:30:00,34.92705455,135.71772318,横断歩道注意,30
10,馬場,08:23:00,34.92613827,135.71209773,,0
11,芝本,08:26:00,34.92122140,135.70774120,,0
12,JR長岡京駅（東口）,08:30:00,34.92303944,135.70148460,終点 車内点検実施,50
12,横大路車庫,08:30:00,34.92644503,135.74416077,走行経路注意,50
